walking profile, minimum value, maximum value, mean, standard deviation, mean time (s)
average_adult,51.9698,53.542,52.655703,0.32908252762933077,19.955435983730005
elderly,42.879599999999996,44.0737,43.448875,0.25893614180006436,14.69007931995
athlete,59.9593,61.9636,61.028108,0.4334126507082357,24.849381139109987
