walking profile, minimum value, maximum value, mean, standard deviation, mean time (s)
average_adult,54.59689999999999,55.7653,55.29679,0.21849583150220198,22.867337310640004
elderly,45.27590000000001,46.414,45.923559,0.20939565425097026,16.728090101230013
athlete,60.479699999999994,61.422799999999995,61.085412,0.19576081947214105,30.593371320600017
