walking profile, minimum value, maximum value, mean, standard deviation, mean time (s)
average_adult,56.2928,56.9066,56.653821,0.12787745103746115,76.53799149063
elderly,47.3364,47.6397,47.503082,0.07243205716428606,49.42770023992001
athlete,62.1232,62.468900000000005,62.269628,0.0694605491984448,107.92741506224002
