walking profile, minimum value, maximum value, mean, standard deviation, mean time (s)
average_adult,49.8019,51.3815,50.606397,0.3113726898928539,60.01835438605998
elderly,38.1544,38.538599999999995,38.360385,0.08146872657094208,38.973000270949974
athlete,56.1109,58.0368,57.108634,0.39202411289989453,89.22845411408001
